Date,Holiday
1/1/2005,New Years Day
1/1/2006,New Years Day
1/1/2007,New Years Day
1/1/2008,New Years Day
1/1/2009,New Years Day
1/1/2010,New Years Day
12/31/2010,"New Years ""Day 2011"" Observed"
1/2/2012,"New Years ""Day"" Observed"
1/1/2013,New Years Day
1/1/2014,New Years Day
1/1/2015,New Years Day
1/1/2016,New Years Day
1/2/2017,"New Years ""Day"" Observed"
1/1/2018,New Years Day
1/1/2019,New Years Day
1/1/2020,New Years Day
1/1/2021,New Years Day
12/31/2021,"New Years ""Day"" Observed"
1/17/2005,Martin Luther King's B-day
1/16/2006,Martin Luther King's B-day
1/15/2007,Martin Luther King's B-day
1/21/2008,Martin Luther King's B-day
1/19/2009,Martin Luther King's B-day
1/18/2010,Martin Luther King's B-day
1/17/2011,Martin Luther King's B-day
1/16/2012,Martin Luther King's B-day
1/21/2013,Martin Luther King's B-day
1/20/2014,Martin Luther King's B-day
1/19/2015,Martin Luther King's B-day
1/18/2016,Martin Luther King's B-day
1/16/2017,Martin Luther King's B-day 
1/15/2018,Martin Luther King's B-day
1/21/2019,Martin Luther King's B-day
1/20/2020,Martin Luther King's B-day
1/18/2021,Martin Luther King's B-day
2/21/2005,Presidents day
2/20/2006,Presidents day
2/19/2007,Presidents day
2/18/2008,Presidents day
2/16/2009,Presidents day
2/15/2010,Presidents day
2/21/2011,Presidents day
2/20/2012,Presidents day
2/18/2013,Presidents day
2/17/2014,Presidents day
2/16/2015,Presidents day
2/15/2016,Presidents day
2/20/2017,Presidents day
2/19/2018,Presidents day
2/18/2019,Presidents day
2/17/2020,Presidents day
2/15/2021,Presidents day
5/30/2005,Memorial day
5/29/2006,Memorial day
5/28/2007,Memorial day
5/26/2008,Memorial day
5/25/2009,Memorial day
5/31/2010,Memorial day
5/30/2011,Memorial day
5/28/2012,Memorial day
5/27/2013,Memorial day
5/26/2014,Memorial day
5/25/2015,Memorial day
5/30/2016,Memorial day
5/29/2017,Memorial day
5/28/2018,Memorial day
5/27/2019,Memorial day
5/25/2020,Memorial day
5/31/2021,Memorial day
7/4/2005,Independence Day
7/4/2006,Independence Day
7/4/2007,Independence Day
7/4/2008,Independence Day
7/3/2009,Independence Day
7/4/2010,Independence Day
7/4/2011,Independence Day
7/4/2012,Independence Day
7/4/2013,Independence Day
7/4/2014,Independence Day
7/3/2015,Independence Day Observed
7/4/2016,Independence Day
7/4/2017,Independence Day
7/4/2018,Independence Day
7/4/2019,Independence Day
7/3/2020,Independence Day Observed
7/5/2021,Independence Day Observed
9/5/2005,Labor day
9/4/2006,Labor day
9/3/2007,Labor day
9/1/2008,Labor day
9/7/2009,Labor day
9/6/2010,Labor day
9/5/2011,Labor day
9/3/2012,Labor day
9/2/2013,Labor day
9/1/2014,Labor day
9/7/2015,Labor day
9/5/2016,Labor day
9/4/2017,Labor day
9/3/2018,Labor day
9/2/2019,Labor day
9/7/2020,Labor day
9/6/2021,Labor day
11/24/2005,Thanksgiving Day
11/23/2006,Thanksgiving Day
11/22/2007,Thanksgiving Day
11/27/2008,Thanksgiving Day
11/26/2009,Thanksgiving Day
11/25/2010,Thanksgiving Day
11/24/2011,Thanksgiving Day
11/22/2012,Thanksgiving Day
11/28/2013,Thanksgiving Day
11/27/2014,Thanksgiving Day
11/26/2015,Thanksgiving Day
11/24/2016,Thanksgiving Day
11/23/2017,Thanksgiving Day
11/22/2018,Thanksgiving Day
11/28/2019,Thanksgiving Day
11/26/2020,Thanksgiving Day
11/25/2021,Thanksgiving Day
11/25/2005,"""Day After"" Thanksgiving Day"
11/24/2006,"""Day After"" Thanksgiving Day"
11/23/2007,"""Day After"" Thanksgiving Day"
11/28/2008,"""Day After"" Thanksgiving Day"
11/27/2009,"""Day After"" Thanksgiving Day"
11/26/2010,"""Day After"" Thanksgiving Day"
11/25/2011,"""Day After"" Thanksgiving Day"
11/23/2012,"""Day After"" Thanksgiving Day"
11/29/2013,"""Day After"" Thanksgiving Day"
11/28/2014,"""Day After"" Thanksgiving Day"
11/27/2015,"""Day After"" Thanksgiving Day"
11/25/2016,"""Day After"" Thanksgiving Day"
11/24/2017,"""Day After"" Thanksgiving Day"
11/23/2018,"""Day After"" Thanksgiving Day"
11/29/2019,"""Day After"" Thanksgiving Day"
11/27/2020,"""Day After"" Thanksgiving Day"
11/26/2021,"""Day After"" Thanksgiving Day"
12/23/2005,Christmas Eve Observed
12/22/2006,Christmas Eve Observed
12/24/2007,Christmas Eve
12/24/2008,Christmas Eve
12/24/2009,Christmas Eve
12/23/2010,Christmas Eve Observed
12/24/2011,Christmas Eve Observed
12/24/2012,Christmas Eve
12/24/2013,Christmas Eve
12/24/2014,Christmas Eve
12/24/2015,Christmas Eve
12/23/2016,Christmas Eve Observed
12/22/2017,Christmas Eve Observed
12/24/2018,Christmas Eve
12/24/2019,Christmas Eve
12/24/2020,Christmas Eve
12/23/2021,Day Before Christmas Observed
12/26/2005,"Christmas ""Day"" Observed"
12/25/2006,"Christmas ""Day"""
12/25/2007,"Christmas ""Day"""
12/25/2008,"Christmas ""Day"""
12/25/2009,"Christmas ""Day"""
12/24/2010,"Christmas ""Day"" Observed"
12/26/2011,"Christmas ""Day"" Observed"
12/25/2012,"Christmas ""Day"""
12/25/2013,"Christmas ""Day"""
12/25/2014,"Christmas ""Day"""
12/25/2015,"Christmas ""Day"""
12/26/2016,"Christmas ""Day"" Observed"
12/25/2017,"Christmas ""Day"""
12/25/2018,"Christmas ""Day"""
12/25/2019,"Christmas ""Day"""
12/25/2020,"Christmas ""Day"""
12/24/2021,"Christmas ""Day"" Observed"
