"WU_SEPARATE,WU_NEW"
"Complex Exploratory Data Analysis ,"
"Complex Exploratory Data Analysis ,Large Data Modeling "
"Complex Exploratory Data Analysis ,User Experience Design Large"
"Complex Exploratory Data Analysis ,"
"Complex Exploratory Data Analysis ,Complex Exploratory Data Analysis "
"Complex Exploratory Data Analysis ,Complex Exploratory Data Analysis "
"Complex Knowledge Engineering ,Complex Knowledge Engineering "
"Advanced Proxy Modeling ,"
"End-to-End Digital Solution Complex ,"
"Automated QA Large ,User Experience Design Medium"
"Complex Knowledge Engineering ,"
"Cyber Security ,Complex Exploratory Data Analysis "
"Software Delivery and Handover ,Complex Exploratory Data Analysis "
"Complex Exploratory Data Analysis ,Complex Exploratory Data Analysis "
"Complex Exploratory Data Analysis ,Complex Exploratory Data Analysis "
"Complex Exploratory Data Analysis ,Advanced Proxy Modeling "
",User Experience Design Small"
"End-to-End Digital Solution Complex ,"
",End-to-End Digital Solution "
"Automated QA Large ,"
"Complex Knowledge Engineering ,Automated QA Large "
",Complex Knowledge Engineering "
"Cyber Security ,"
",Cyber Security "
"Software Delivery and Handover ,"
",Software Delivery and Handover "
","
","
","
","
","
","
","
","
","
","
","